label,class_name,support,correct,accuracy
0,class_00,8,8,1.0
1,class_01,8,8,1.0
2,class_02,8,5,0.625
3,class_03,8,7,0.875
4,class_04,8,7,0.875
5,class_05,8,8,1.0
6,class_06,8,8,1.0
7,class_07,8,7,0.875
8,class_08,8,8,1.0
9,class_09,8,8,1.0
10,class_10,8,8,1.0
11,class_11,8,7,0.875
12,class_12,8,7,0.875
13,class_13,8,8,1.0
14,class_14,8,8,1.0
15,class_15,8,7,0.875
16,class_16,8,8,1.0
17,class_17,8,8,1.0
18,class_18,8,8,1.0
19,class_19,8,8,1.0
20,class_20,8,8,1.0
21,class_21,8,7,0.875
22,class_22,8,8,1.0
23,class_23,8,8,1.0
24,class_24,8,7,0.875
25,class_25,8,7,0.875
26,class_26,8,7,0.875
27,class_27,8,7,0.875
28,class_28,8,8,1.0
29,class_29,8,8,1.0
30,class_30,8,7,0.875
31,class_31,8,7,0.875
32,class_32,8,7,0.875
33,class_33,8,6,0.75
34,class_34,8,7,0.875
35,class_35,8,8,1.0
36,class_36,8,7,0.875
37,class_37,8,8,1.0
38,class_38,8,8,1.0
39,class_39,8,8,1.0
40,class_40,8,4,0.5
41,class_41,8,7,0.875
42,class_42,8,8,1.0
43,class_43,8,8,1.0
44,class_44,8,8,1.0
45,class_45,8,7,0.875
46,class_46,8,8,1.0
47,class_47,8,6,0.75
48,class_48,8,7,0.875
49,class_49,8,7,0.875
