label,class_name,support,correct,accuracy
0,dog,8,3,0.375
1,rooster,8,7,0.875
2,pig,8,0,0.0
3,cow,8,4,0.5
4,frog,8,1,0.125
5,cat,8,2,0.25
6,hen,8,0,0.0
7,insects,8,3,0.375
8,sheep,8,0,0.0
9,crow,8,3,0.375
10,rain,8,7,0.875
11,sea_waves,8,7,0.875
12,crackling_fire,8,4,0.5
13,crickets,8,8,1.0
14,chirping_birds,8,0,0.0
15,water_drops,8,2,0.25
16,wind,8,2,0.25
17,pouring_water,8,7,0.875
18,toilet_flush,8,3,0.375
19,thunderstorm,8,5,0.625
20,crying_baby,8,3,0.375
21,sneezing,8,5,0.625
22,clapping,8,1,0.125
23,breathing,8,0,0.0
24,coughing,8,0,0.0
25,footsteps,8,3,0.375
26,laughing,8,0,0.0
27,brushing_teeth,8,7,0.875
28,snoring,8,3,0.375
29,drinking_sipping,8,0,0.0
30,door_wood_knock,8,5,0.625
31,mouse_click,8,4,0.5
32,keyboard_typing,8,5,0.625
33,door_wood_creaks,8,2,0.25
34,can_opening,8,5,0.625
35,washing_machine,8,2,0.25
36,vacuum_cleaner,8,3,0.375
37,clock_alarm,8,6,0.75
38,clock_tick,8,3,0.375
39,glass_breaking,8,5,0.625
40,helicopter,8,1,0.125
41,chainsaw,8,3,0.375
42,siren,8,7,0.875
43,car_horn,8,2,0.25
44,engine,8,3,0.375
45,train,8,1,0.125
46,church_bells,8,4,0.5
47,airplane,8,5,0.625
48,fireworks,8,0,0.0
49,hand_saw,8,7,0.875
