label,class_name,support,correct,accuracy
0,class_00,8,2,0.25
1,class_01,8,5,0.625
2,class_02,8,1,0.125
3,class_03,8,2,0.25
4,class_04,8,0,0.0
5,class_05,8,0,0.0
6,class_06,8,4,0.5
7,class_07,8,4,0.5
8,class_08,8,3,0.375
9,class_09,8,0,0.0
10,class_10,8,8,1.0
11,class_11,8,8,1.0
12,class_12,8,4,0.5
13,class_13,8,5,0.625
14,class_14,8,2,0.25
15,class_15,8,0,0.0
16,class_16,8,4,0.5
17,class_17,8,7,0.875
18,class_18,8,5,0.625
19,class_19,8,4,0.5
20,class_20,8,7,0.875
21,class_21,8,2,0.25
22,class_22,8,2,0.25
23,class_23,8,2,0.25
24,class_24,8,0,0.0
25,class_25,8,3,0.375
26,class_26,8,0,0.0
27,class_27,8,6,0.75
28,class_28,8,3,0.375
29,class_29,8,0,0.0
30,class_30,8,3,0.375
31,class_31,8,3,0.375
32,class_32,8,6,0.75
33,class_33,8,1,0.125
34,class_34,8,0,0.0
35,class_35,8,1,0.125
36,class_36,8,3,0.375
37,class_37,8,5,0.625
38,class_38,8,4,0.5
39,class_39,8,0,0.0
40,class_40,8,0,0.0
41,class_41,8,4,0.5
42,class_42,8,3,0.375
43,class_43,8,1,0.125
44,class_44,8,1,0.125
45,class_45,8,5,0.625
46,class_46,8,8,1.0
47,class_47,8,4,0.5
48,class_48,8,0,0.0
49,class_49,8,8,1.0
